trade_date,target_time,node_seq,sector_type,direction,position,sector_code,sector_name,turnover_market_share_pct,turnover_1m_market_share_pct,turnover_market_share_delta_15m,turnover_1m_market_share_delta_15m,turnover_increment_15m,turnover_increment_market_share_pct,turnover_share_rank,turnover_share_rank_delta,up_ratio_delta_15m,new_high_ratio_delta_15m,turnover_1m_top1_share_pct,turnover_1m_top3_share_pct,turnover_1m_top5_share_pct
2026-08-28,10:30:15,72,style,UP,6,883434.TI,消费,8.083211,8.262982,0.061232,-0.346128,10234334401.00,8.555966,33,0,0.021518,0.007928,7.432731,17.099376,22.122891
2026-08-28,10:30:15,72,style,UP,7,883442.TI,养老金持股,3.773708,4.238198,0.059095,0.606209,5059726136.00,4.229962,54,1,0.045455,0.010101,14.491189,26.324518,34.316317
2026-08-28,10:30:15,72,style,UP,8,883966.TI,机构月调研前十,1.220789,1.103425,0.056926,-0.167267,1985986826.00,1.660297,74,2,-0.100000,0.000000,27.680143,62.508260,86.256222
2026-08-28,10:30:15,72,style,UP,9,883433.TI,先进制造,23.515988,24.057934,0.056197,-0.149920,28647963116.00,23.949873,9,0,-0.008419,0.002405,2.423913,5.819588,8.683185
2026-08-28,10:30:15,72,style,UP,10,883960.TI,低价股,1.091228,1.806769,0.047957,0.912576,1748177925.00,1.461487,77,1,0.115385,0.019231,32.275485,59.026452,62.420205
2026-08-28,10:30:15,72,style,DOWN,1,883910.TI,同花顺热股,17.867501,14.398412,-0.531097,-1.226274,16467643320.00,13.767051,14,0,0.040000,0.000000,8.211723,18.701944,27.860910
2026-08-28,10:30:15,72,style,DOWN,2,883404.TI,同花顺情绪指数,18.600767,14.874624,-0.498821,-1.219069,17642824434.00,14.749510,13,0,0.012539,0.000000,4.026665,10.991956,16.774517
2026-08-28,10:30:15,72,style,DOWN,3,883978.TI,昨日打板表现,9.854568,6.565070,-0.427986,-1.239512,7835123039.00,6.550211,23,0,-0.011494,-0.011494,9.123303,20.975468,30.129637
2026-08-28,10:30:15,72,style,DOWN,4,883992.TI,昨日非ST打板,9.854568,6.565070,-0.427986,-1.239512,7835123039.00,6.550211,24,0,-0.011494,-0.011494,9.123303,20.975468,30.129637
2026-08-28,10:30:15,72,style,DOWN,5,883986.TI,昨日非ST涨停表现,8.149409,4.950129,-0.417761,-1.041146,5889903792.00,4.923996,31,0,0.000000,-0.012987,6.569233,18.709880,29.110930
2026-08-28,10:30:15,72,style,DOWN,6,883900.TI,昨日涨停表现,8.157552,4.960801,-0.417658,-1.035548,5900595851.00,4.932934,30,0,0.000000,-0.012821,6.555101,18.669630,29.048306
2026-08-28,10:30:15,72,style,DOWN,7,883423.TI,沪深主板昨日涨停,6.982660,4.215629,-0.363465,-0.744911,4995718844.00,4.176452,36,-2,0.000000,0.000000,7.713807,21.969748,34.183000
2026-08-28,10:30:15,72,style,DOWN,8,883994.TI,昨日打首板表现,8.668038,5.742244,-0.355455,-1.455748,7085678039.00,5.923670,29,0,0.000000,-0.013158,10.430614,23.902266,33.035391
2026-08-28,10:30:15,72,style,DOWN,9,883926.TI,高贝塔值,9.480177,5.737189,-0.348061,-2.078711,8125415212.00,6.792897,26,-1,-0.010000,-0.010000,8.067570,19.324707,29.020632
2026-08-28,10:30:15,72,style,DOWN,10,883993.TI,昨日非ST首板,6.846426,4.116354,-0.332969,-1.234448,5114399563.00,4.275669,38,-2,0.016393,-0.016393,7.789848,20.530404,31.624726
2026-08-28,11:00:15,102,concept,UP,1,886042.TI,存储芯片,15.147627,15.967996,0.225302,2.810355,20139125811.00,17.453711,22,1,-0.034483,0.000000,10.756619,16.884613,22.004123
2026-08-28,11:00:15,102,concept,UP,2,885756.TI,芯片概念,41.768593,38.724062,0.205593,1.265504,50623192774.00,43.872935,3,0,-0.020607,-0.001085,4.435528,9.703551,13.100610
2026-08-28,11:00:15,102,concept,UP,3,886021.TI,国企改革,24.021906,30.419027,0.141663,2.941228,29390986495.00,25.471899,11,0,0.010225,-0.008862,19.092415,21.854437,24.445884
2026-08-28,11:00:15,102,concept,UP,4,886009.TI,先进封装,12.538167,11.862998,0.131269,0.557673,16017607729.00,13.881769,29,1,-0.063107,0.000000,3.462592,9.936605,15.550865
2026-08-28,11:00:15,102,concept,UP,5,885945.TI,汽车芯片,6.739179,7.073660,0.128383,0.147369,9292305379.00,8.053240,71,2,-0.020979,0.000000,6.271820,17.477583,26.040014
2026-08-28,11:00:15,102,concept,UP,6,885520.TI,沪股通,40.887192,44.330516,0.121104,3.471157,48608347309.00,42.126755,4,0,0.008521,-0.001826,13.100968,15.839520,17.734783
2026-08-28,11:00:15,102,concept,UP,7,885897.TI,中芯国际概念,5.688709,6.879659,0.114157,2.136993,7912203454.00,6.857165,89,0,-0.033333,0.000000,24.966593,36.849204,46.116700
