"scheduled_time","node_seq","thscode","ticker","stock_name","candidate_rank","candidate_score_v1","candidate_hit_count","candidate_reason_mask","hit_price_strength","hit_turnover_absolute","hit_turnover_acceleration","hit_new_high","hit_limit_strength","hit_core_sector","hit_sector_leader","hit_persistence","price_change_ratio_pct","price_change_1m_pct","price_change_rank_market","price_change_1m_rank_market","turnover","turnover_delta_1m","turnover_growth_1m","turnover_rank_market","turnover_delta_1m_rank_market","turnover_top_pct_market","turnover_delta_1m_top_pct_market","new_high_flag","is_limit_up","is_limit_break","continue_day_cnt","seal_money","core_sector_count","best_core_sector_type","best_core_sector_name","best_core_sector_candidate_rank","best_sector_turnover_rank","best_sector_turnover_1m_rank","best_sector_price_rank","best_sector_turnover_share_pct","candidate_hit_count_3","candidate_hit_count_5","state_data_status","state_source_scheduled_time","state_source_age_seconds"
"2026-08-28 11:00:15.000",102,"601360.SH","601360","三六零",4,90,7,247,1,1,1,0,1,1,1,1,9.977064,0,60,1978,1655212700,8621400,14.109358569926393,139,123,0.02499101042790363,0.022114347357065803,0,1,0,1,1439727500,3,"industry","软件开发",7,5,2,5,4.537467511183827,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"600183.SH","600183","生益科技",5,75,6,231,1,1,1,0,0,1,1,1,5.68206,-0.5872147337515177,148,5459,10636077300,16549600,-0.7328067912306846,4,39,0.000719165767709457,0.007011866235167206,0,0,0,\N,\N,2,"concept","沪股通",15,2,17,42,2.006545437664391,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"002155.SZ","002155","湖南黄金",6,75,6,231,1,1,1,0,0,1,1,1,6.624722,0.10423905489922447,117,551,4105600600,5963100,0.5256748113086862,31,191,0.005573534699748292,0.03434016540812657,0,0,0,\N,\N,7,"style","周期",1,5,38,27,1.507592440932945,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"300456.SZ","300456","赛微电子",7,75,6,231,1,1,1,0,0,1,1,1,10.847275,-0.3396409509946685,11,4944,3844607100,7765800,-0.4439575546676977,37,137,0.0066522833513124775,0.024631427544048904,0,0,0,\N,\N,4,"style","昨日非ST涨停表现",2,6,13,2,3.2056112340739835,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"300454.SZ","300454","深信服",8,75,6,231,1,1,1,0,0,1,1,1,6.458333,-0.3743273804881819,120,5067,3168603700,10407200,0.6077613508210904,53,88,0.009528946422150306,0.015821646889608056,0,0,0,\N,\N,2,"industry","软件开发",7,1,1,9,8.686156374082234,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"301666.SZ","301666","大普微-UW",9,75,6,231,1,1,1,0,0,1,1,1,6.272379,-0.3178601415377291,127,4843,2983075800,17331000,2.0951530521127264,65,36,0.011686443725278677,0.006472491909385114,0,0,0,\N,\N,3,"style","昨日非ST涨停表现",2,12,3,25,2.487271403253205,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"600664.SH","600664","哈药股份",10,75,6,231,1,1,1,0,0,1,1,1,5.828571,0.21645021645020357,143,235,2312676500,4670500,0.7142594971554415,93,259,0.016720604099244876,0.04656598345918734,0,0,0,\N,\N,3,"concept","养老概念",5,1,8,11,7.867456908140161,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"600186.SH","600186","莲花控股",11,75,6,231,1,1,1,0,0,1,1,1,3.849444,0.41356492969397696,261,67,2198718400,21359200,0.6260543865525747,97,20,0.017439769866954332,0.003595828838547285,0,0,0,\N,\N,3,"concept","粮食概念",11,1,1,9,15.4117621036192,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"300170.SZ","300170","汉得信息",12,75,6,231,1,1,1,0,0,1,1,1,11.111111,-0.41007615700058286,10,5182,1910586600,6468200,3.0006185056902526,117,174,0.021035598705501618,0.03128371089536138,0,0,0,\N,\N,2,"concept","C2M概念",14,1,1,2,28.946978778703908,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"300085.SZ","300085","银之杰",13,75,6,231,1,1,1,0,0,1,1,1,3.568045,-0.4552352048558639,292,5289,1839810000,8106600,-0.20578812787177558,123,134,0.022114347357065803,0.02409205321826681,0,0,0,\N,\N,2,"industry","软件开发",7,3,3,18,5.043507762930478,3,4,"CURRENT","2026-08-28 11:00:15.000",0
